Designator,Mid X,Mid Y,Layer,Rotation
U280,57.962999999999994mm,41.891001mm,Top,90.0
U275,57.962999999999994mm,51.291001mm,Top,270.0
U270,57.962999999999994mm,48.191001mm,Top,90.0
U195,62.212999999999994mm,42.491001mm,Top,0.0
U190,60.312999999999995mm,24.491001mm,Top,90.0
U185,62.212999999999994mm,49.591001mm,Top,0.0
U180,60.312999999999995mm,30.291001mm,Top,90.0
U175,60.312999999999995mm,36.091001000000006mm,Top,90.0
U170,60.312999999999995mm,18.691001mm,Top,90.0
S101,77.963mm,13.491001000000004mm,Top,0.0
S100,72.163mm,13.491001000000004mm,Top,180.0
R140,53.462999999999994mm,14.790900999999998mm,Bottom,270.0
R111,67.013mm,52.291001mm,Bottom,90.0
R112,68.06299999999999mm,52.291001mm,Bottom,90.0
R117,73.31299999999999mm,52.291001mm,Bottom,90.0
R115,71.213mm,52.291001mm,Bottom,90.0
R116,72.263mm,52.291001mm,Bottom,90.0
R114,70.163mm,52.291001mm,Bottom,90.0
R113,69.113mm,52.291001mm,Bottom,90.0
R110,65.963mm,52.291001mm,Bottom,90.0
R120,76.06299999999999mm,15.891001000000003mm,Bottom,0.0
R100,76.863mm,52.590901mm,Bottom,0.0
R258,52.863mm,17.390901mm,Bottom,180.0
R255,51.562999999999995mm,52.591001mm,Bottom,180.0
R256,54.863mm,17.390901mm,Bottom,0.0
R254,53.513mm,52.591001mm,Top,180.0
R257,52.013mm,20.691001mm,Bottom,270.0
R245,52.013mm,25.490901mm,Bottom,270.0
R236,52.013mm,30.290901mm,Bottom,270.0
R227,52.013mm,35.091001000000006mm,Bottom,270.0
R209,52.013mm,44.691001mm,Bottom,270.0
R200,52.013mm,49.490901mm,Bottom,270.0
R197,63.663mm,42.490901mm,Bottom,90.0
R196,60.763mm,42.491001mm,Bottom,270.0
R195,60.263mm,39.640901mm,Bottom,180.0
R191,60.312999999999995mm,25.940901mm,Bottom,180.0
R190,60.312999999999995mm,23.040901mm,Bottom,0.0
R186,63.663mm,49.591001mm,Bottom,90.0
R185,60.763mm,49.591001mm,Bottom,270.0
R181,60.312999999999995mm,31.740901mm,Bottom,180.0
R180,60.312999999999995mm,28.840901000000002mm,Bottom,0.0
R176,60.312999999999995mm,37.540901000000005mm,Bottom,180.0
R175,60.312999999999995mm,34.640901mm,Bottom,0.0
R171,60.312999999999995mm,20.140901mm,Bottom,180.0
R170,60.312999999999995mm,17.241001000000004mm,Bottom,0.0
R139,50.962999999999994mm,12.991001000000004mm,Top,180.0
R138,50.962999999999994mm,14.191001mm,Top,180.0
R137,50.962999999999994mm,15.391001000000003mm,Top,180.0
R136,50.962999999999994mm,16.591001mm,Top,180.0
R135,51.962999999999994mm,12.991001000000004mm,Top,0.0
R132,51.962999999999994mm,14.191001mm,Top,0.0
R126,51.962999999999994mm,15.391001000000003mm,Top,0.0
R124,51.962999999999994mm,16.591001mm,Top,0.0
R119,67.863mm,51.891001mm,Top,0.0
R118,71.963mm,51.891001mm,Top,0.0
R266,50.962999999999994mm,18.891001000000003mm,Top,180.0
R265,50.962999999999994mm,20.091001mm,Top,180.0
R264,50.962999999999994mm,21.291001mm,Top,180.0
R263,50.962999999999994mm,22.491001mm,Top,180.0
R262,51.962999999999994mm,18.891001000000003mm,Top,0.0
R261,51.962999999999994mm,20.091001mm,Top,0.0
R260,51.962999999999994mm,21.291001mm,Top,0.0
R259,51.962999999999994mm,22.491001mm,Top,0.0
R253,50.962999999999994mm,23.691001mm,Top,0.0
R252,50.962999999999994mm,24.891001000000003mm,Top,0.0
R251,50.962999999999994mm,26.091001000000002mm,Top,0.0
R250,50.962999999999994mm,27.291001mm,Top,0.0
R249,51.962999999999994mm,23.691001mm,Top,180.0
R248,51.962999999999994mm,24.891001000000003mm,Top,180.0
R247,51.962999999999994mm,26.091001000000002mm,Top,180.0
R246,51.962999999999994mm,27.291001mm,Top,180.0
R244,50.962999999999994mm,28.491001mm,Top,180.0
R243,50.962999999999994mm,29.691001mm,Top,180.0
R242,50.962999999999994mm,30.891001000000003mm,Top,180.0
R241,50.962999999999994mm,32.091001000000006mm,Top,180.0
R240,51.962999999999994mm,28.491001mm,Top,0.0
R239,51.962999999999994mm,29.691001mm,Top,0.0
R238,51.962999999999994mm,30.891001000000003mm,Top,0.0
R237,51.962999999999994mm,32.091001000000006mm,Top,0.0
R235,50.962999999999994mm,33.291001mm,Top,0.0
R234,50.962999999999994mm,34.491001mm,Top,0.0
R233,50.962999999999994mm,35.691001mm,Top,0.0
R232,50.962999999999994mm,36.891001mm,Top,0.0
R231,51.962999999999994mm,33.291001mm,Top,180.0
R230,51.962999999999994mm,34.491001mm,Top,180.0
R229,51.962999999999994mm,35.691001mm,Top,180.0
R228,51.962999999999994mm,36.891001mm,Top,180.0
R226,50.962999999999994mm,38.091001000000006mm,Top,180.0
R225,50.962999999999994mm,39.291001mm,Top,180.0
R224,50.962999999999994mm,40.491001mm,Top,180.0
R223,50.962999999999994mm,41.691001mm,Top,180.0
R222,51.962999999999994mm,38.091001000000006mm,Top,0.0
R221,51.962999999999994mm,39.291001mm,Top,0.0
R220,51.962999999999994mm,40.491001mm,Top,0.0
R219,51.962999999999994mm,41.691001mm,Top,0.0
R218,52.013mm,39.891001mm,Bottom,270.0
R217,50.962999999999994mm,42.891001mm,Top,180.0
R216,50.962999999999994mm,44.091001000000006mm,Top,180.0
R215,50.962999999999994mm,45.291001mm,Top,180.0
R214,50.962999999999994mm,46.491001000000004mm,Top,180.0
R213,51.962999999999994mm,42.861001mm,Top,0.0
R212,51.962999999999994mm,44.091001000000006mm,Top,0.0
R211,51.962999999999994mm,45.291001mm,Top,0.0
R210,51.962999999999994mm,46.491001000000004mm,Top,0.0
R208,50.962999999999994mm,47.691001mm,Top,180.0
R207,50.962999999999994mm,48.891001mm,Top,180.0
R206,50.962999999999994mm,50.091001mm,Top,180.0
R205,50.962999999999994mm,51.291001mm,Top,180.0
R204,51.962999999999994mm,47.691001mm,Top,0.0
R203,51.962999999999994mm,48.891001mm,Top,0.0
R202,51.962999999999994mm,50.091001mm,Top,0.0
R201,51.962999999999994mm,51.291001mm,Top,0.0
R142,56.363mm,41.390901mm,Bottom,270.0
P106,64.76299999999999mm,29.891001000000003mm,Top,180.0
P105,64.963mm,38.591001000000006mm,Top,180.0
P104,64.663mm,34.291001mm,Top,180.0
P201,50.462999999999994mm,17.621001mm,Top,0.0
P200,49.962999999999994mm,52.591001mm,Top,0.0
P103,64.663mm,25.091001000000002mm,Top,90.0
P102,64.663mm,22.191001mm,Top,90.0
P101,64.663mm,19.191001mm,Top,90.0
P100,65.863mm,17.891001000000003mm,Top,90.0
J100,77.51599999999999mm,25.915901mm,Bottom,270.0
D100,75.82849999999999mm,49.665801mm,Bottom,90.0
D205,65.613mm,13.991001000000004mm,Top,0.0
D207,54.763mm,20.691001mm,Top,90.0
D206,54.763mm,25.491001mm,Top,90.0
D204,54.763mm,30.291001mm,Top,90.0
D203,54.763mm,35.091001000000006mm,Top,90.0
D201,54.763mm,44.691001mm,Top,90.0
D200,54.763mm,49.491001000000004mm,Top,90.0
D116,67.56299999999999mm,43.341001000000006mm,Top,90.0
D115,67.56299999999999mm,47.541001mm,Top,90.0
D114,69.363mm,43.341001000000006mm,Top,90.0
D113,69.363mm,47.541001mm,Top,90.0
D112,71.163mm,43.341001000000006mm,Top,90.0
D111,71.163mm,47.541001mm,Top,90.0
D110,72.963mm,43.341001000000006mm,Top,90.0
D109,72.963mm,47.541001mm,Top,90.0
D202,54.763mm,39.891001mm,Top,90.0
C143,53.863mm,16.591001mm,Top,180.0
C144,53.863mm,15.391001000000003mm,Top,0.0
C145,53.863mm,14.191001mm,Top,180.0
C146,53.863mm,12.991001000000004mm,Top,180.0
C112,65.863mm,43.191001mm,Top,270.0
C111,65.963mm,49.691001mm,Top,0.0
C123,79.06299999999999mm,34.290901000000005mm,Bottom,0.0
C117,73.113mm,16.141001000000003mm,Bottom,180.0
C105,78.763mm,49.791001mm,Bottom,90.0
C100,78.763mm,52.291001mm,Bottom,270.0
C285,57.962999999999994mm,45.107901mm,Bottom,270.0
C280,57.962999999999994mm,41.774001mm,Bottom,90.0
C275,57.962999999999994mm,51.408001mm,Bottom,270.0
C270,57.962999999999994mm,48.074001mm,Bottom,90.0
C229,50.962999999999994mm,17.790900999999998mm,Bottom,180.0
C224,51.562999999999995mm,52.591001mm,Top,0.0
C223,55.812999999999995mm,52.591001mm,Top,0.0
C222,53.513mm,52.591001mm,Bottom,0.0
C221,52.863mm,17.691001mm,Top,0.0
C220,57.062999999999995mm,35.090901mm,Bottom,90.0
C230,54.863mm,22.491001mm,Bottom,180.0
C231,54.863mm,21.290900999999998mm,Bottom,180.0
C232,54.863mm,20.091001mm,Bottom,180.0
C225,54.863mm,27.290901mm,Bottom,180.0
C226,54.863mm,26.091001000000002mm,Bottom,180.0
C227,54.863mm,24.890901000000003mm,Bottom,180.0
C228,54.863mm,23.691001mm,Bottom,180.0
C216,54.863mm,32.091001000000006mm,Bottom,180.0
C217,54.863mm,30.890901000000003mm,Bottom,180.0
C218,54.863mm,29.691001mm,Bottom,180.0
C219,54.863mm,28.490901mm,Bottom,180.0
C212,54.863mm,36.890901mm,Bottom,180.0
C213,54.863mm,35.691001mm,Bottom,180.0
C214,54.863mm,34.490901mm,Bottom,180.0
C215,54.863mm,33.291001mm,Bottom,180.0
C204,54.863mm,46.491001000000004mm,Bottom,180.0
C205,54.863mm,45.290901000000005mm,Bottom,180.0
C206,54.863mm,44.091001000000006mm,Bottom,180.0
C207,54.863mm,42.890901mm,Bottom,180.0
C200,54.863mm,51.290901mm,Bottom,180.0
C201,54.863mm,50.091001mm,Bottom,180.0
C202,54.863mm,48.890901mm,Bottom,180.0
C203,54.863mm,47.691001mm,Bottom,180.0
C195,62.863mm,39.640901mm,Bottom,180.0
C190,63.163mm,25.141001000000003mm,Bottom,270.0
C185,62.863mm,46.741001000000004mm,Bottom,180.0
C180,63.163mm,30.941001mm,Bottom,270.0
C175,63.163mm,36.740901mm,Bottom,270.0
C170,63.163mm,19.340901000000002mm,Bottom,270.0
C142,50.962999999999994mm,12.991001000000004mm,Bottom,180.0
C141,50.962999999999994mm,14.191001mm,Bottom,180.0
C139,50.962999999999994mm,15.390901mm,Bottom,0.0
C135,50.962999999999994mm,16.591001mm,Bottom,180.0
C211,54.863mm,38.091001000000006mm,Bottom,180.0
C210,54.863mm,39.290901000000005mm,Bottom,180.0
C209,54.863mm,40.491001mm,Bottom,180.0
C208,54.863mm,41.690901000000004mm,Bottom,180.0
C147,74.263mm,38.290901000000005mm,Bottom,0.0
F101,87.613mm,49.341001mm,Bottom,90.0
R134,80.18799999999999mm,39.290901000000005mm,Bottom,270.0
R133,81.363mm,39.290901000000005mm,Bottom,270.0
C133,79.013mm,39.290901000000005mm,Bottom,90.0
R131,66.288mm,32.116001mm,Bottom,90.0
U101,84.06299999999999mm,49.591001mm,Top,180.0
R130,71.963mm,41.490901mm,Bottom,0.0
R129,67.863mm,41.490901mm,Bottom,0.0
Y101,81.863mm,36.191001mm,Bottom,180.0
C116,79.963mm,35.891001mm,Bottom,90.0
C115,83.863mm,35.691001mm,Bottom,90.0
C124,69.81299999999999mm,37.791001mm,Bottom,90.0
R121,76.163mm,38.290901000000005mm,Bottom,180.0
R106,87.038mm,30.915901mm,Bottom,0.0
J101,87.24799999999999mm,42.171001000000004mm,Top,90.0
C129,77.863mm,37.791001mm,Bottom,90.0
C128,87.763mm,28.590901000000002mm,Bottom,0.0
C121,66.788mm,29.515901000000003mm,Bottom,180.0
C118,66.388mm,24.415901mm,Bottom,270.0
C110,85.663mm,17.540900999999998mm,Bottom,270.0
C109,78.863mm,17.290900999999998mm,Bottom,0.0
C108,73.163mm,17.241001000000004mm,Bottom,0.0
R105,69.56299999999999mm,16.690901000000004mm,Bottom,90.0
R104,76.363mm,17.291001mm,Bottom,0.0
R103,68.56299999999999mm,16.690901000000004mm,Bottom,90.0
R125,69.263mm,22.391001000000003mm,Bottom,90.0
C104,86.513mm,52.041001mm,Bottom,0.0
C137,84.263mm,44.891001mm,Bottom,90.0
D101,80.56299999999999mm,51.041001mm,Bottom,90.0
